CCS,Adduct,SMILES
213.9,[M+H]+,O=C(CCN1C(=O)C(C)Oc2c1cccc2)OCc1nnc(o1)c1c(C)onc1c1ccccc1
207.72,[M+Na]+,CCCN(C(=O)CSc1nnnn1c1ccccc1C)Cc1nnc(o1)c1cccs1
208.69,[M+H]+,O=C(C(NC(=O)c1ccccc1)Cc1ccccc1)N1CCC(CC1)C(=O)Nc1ccccc1
205.29,[M+Na]+,O=C(N1CCN(CC1)c1ncc(cc1Cl)C(F)(F)F)CN1CCCCCC1=O
181.02,[M+Na]+,Cc1ccc(cc1)c1nn(cc1C(=O)N)c1ccc(cc1)F
190.88,[M+H]+,N#CC1(CCCC1)NC(=O)CN1CCCCC1c1nc2c(s1)cccc2
194.4,[M-H]-,CC(C)C1C2CCC1C1=C2C=CC=C1N=C(O)C1=CN(C)N=C1C(F)F
172.06,[M-H]-,CCN(C(=O)c1ccc2c(c1)c1CCCCc1[nH]2)CC
207.94,[M+Na]+,O=C(c1ccc2c(c1)OCO2)CN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1
178.78,[M-H]-,N#CC1(CCCC1)NC(=O)COc1cccc(c1)I
188.16,[M-H]-,COc1ccc(cc1)CCC(=O)N(CC(=O)Nc1cc(C)ccc1C)C
201.97,[M+H]+,COc1ccccc1N1CCN(CC1)CC(=O)Nc1ccnn1Cc1ccccc1Cl
182.44,[M+Na]+,NN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1
167.49,[M+H]+,O=C(CN1CCSc2c1cccc2)Nc1noc(c1)C
190.27,[M+H]+,O=C(NC(c1ccc2c(c1)OCCCO2)C(C)C)Nc1ccc(cc1)C
159.22,[M-H]-,CCCN1C(=O)NC(C1=O)(C)c1ccc(cc1)C#N
129.444461,[M+H]+,C(CS)[C@@H](C(=O)O)N
205.33,[M+H]+,CCC1(NC(=O)N(C1=O)CC(=O)N(CC(=O)Nc1ccccc1Cl)C)c1ccc(cc1)F
165.9,[M+H]+,CC(=C)COC(=O)c1ccc(c(c1)NC(=O)c1ccco1)C
198.79,[M+H]+,COc1c(cccc1OC)CN(C(=O)c1ccc(cc1)Oc1ccccc1)C
200.51,[M-H]-,CC(CC(C(=O)Nc1nnc(s1)C1CC1)NC(=O)c1ccccc1C)C
184.76,[M-H]-,Cc1ccsc1C(=O)N1CCN(CC1)S(=O)(=O)c1ccc2c(c1)cccc2
214.32,[M-H]-,O=C1CCN(CC1)C(=O)C(NC(=O)C(c1ccccc1)c1ccccc1)Cc1ccccc1
171.78,[M-H]-,CSc1nc2ccccc2c(=O)n1Cc1ccc(cc1)Cl
172.79,[M+H]+,CN(C(=O)CNC(=O)c1c(C)onc1c1c(F)cccc1Cl)C
196.28,[M+Na]+,COc1cc(CCNC(=O)C(C(C)C)NC(=O)c2ccccc2Br)ccc1OC
184.79,[M+Na]+,COc1cc(N)c(cc1C(=O)OCC(=O)N1CCOCC1)Cl
147.79,[M+H]+,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C
248.16,[M+Na]+,C[N+](C)(C)CCOP(OC[C@]([H])(O)COC(CC=CCC=CCC=CCC=CCCCCCCCCCCC)=O)(=O)O
199.67,[M+Na]+,COc1cccc(c1)n1cnnc1SCc1noc(c1)c1ccccc1
201.77,[M+H]+,O=C(c1sccc1S(=O)(=O)N1CCOCC1)N1CCC(CC1)NC(=O)c1ccccc1
210.84,[M+Na]+,CCCC(NC(=O)COC(=O)c1cc(nn1c1ccccc1)c1ccccc1)C
212.36,[M+H]+,CCCCOc1ccc(cc1)C(=O)Nc1cccc(c1)S(=O)(=O)N1CCOCC1
156.45,[M+H]+,FC(c1cccc(c1)NC1=NCCCS1)(F)F
192.68,[M+H]+,CC1CC(C)(C)CC2(C1)NC(=O)N(C2=O)CC(=O)N1CCCCCCC1
196.17,[M-H]-,CC(=O)NCc1ccc(cc1)C(=O)NCCOc1ccc(cc1)C
191.25,[M-H]-,COc1ccc2c(c1)CCc1c2sc(c1)C(=O)NN1CCOCC1
156.7,[M+H]+,CNC(=O)c1sc(nc1C)NCc1ccco1
207.49,[M+Na]+,O=C(N1CCC(CC1)Cc1ccccc1)Cn1c(=O)c(F)cn(c1=O)C1CCCO1
201.3,[M-H]-,O=C(Nc1cccc(c1)S(=O)(=O)N1CCCC1)CSc1nccn1Cc1ccccc1
206.24,[M+Na]+,O=C(c1cc(nc2c1c(C)no2)c1ccccc1)N1CCCC1c1cccs1
200.53,[M+Na]+,O=C(N1CCN(CC1)C(=O)c1ccco1)CSc1nnc(o1)c1ccc2c(c1)OCO2
189.12,[M+Na]+,CC(C(=O)Nc1sc2c(c1C(=O)N)CCC2)OC(=O)c1cccs1
176.01,[M+Na]+,O=C(Nc1ccc(cc1O)C)CC1CCCCC1
198.5,[M-H]-,COc1ccc(cc1C(=O)NCCCCOc1ccc(cc1)F)S(=O)(=O)N
204.45,[M+Na]+,Fc1cccc(c1)S(=O)(=O)Nc1ccc2c(c1)sc(n2)N1CCOCC1
166.43,[M+H]+,O=C(Nc1ccccc1C)CN1CCCCC1C(=O)N
214.09,[M+H]+,O=C(NC(c1ccc(cc1)n1cncc1)C)CSc1nccn1c1cccc(c1C)C
184.14,[M+Na]+,CCc1noc(c1C(=O)N1CCc2c(C1)c1ccccc1[nH]2)C
166.0,[M+H]+,O=C(Nc1cccc(c1)NC(=O)C)CC1CCCC1
207.72,[M+H]+,COc1ccc(cc1S(=O)(=O)N1CCOCC1)NC(=O)c1ccccc1c1ccccc1
